City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Jamestown,US,83.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
10,Tuy Hoa,VN,80.02,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
15,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
24,Kirakira,SB,79.36,scattered clouds,-10.4544,161.9205,SanBiz Lodge
26,Ugoofaaru,MV,82.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
27,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
28,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,Pension Maro'i
30,Trairi,BR,88.14,scattered clouds,-3.2778,-39.2689,janelas do mar
31,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
34,Hobyo,SO,79.88,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
45,Eydhafushi,MV,83.05,broken clouds,5.1033,73.0708,Soneva Fushi
52,Amambai,BR,82.67,overcast clouds,-23.1042,-55.2258,Keren Hotel
56,Banda Aceh,ID,80.42,overcast clouds,5.5577,95.3222,Sulthan Hotel International
57,Daru,PG,77.04,overcast clouds,-9.0763,143.2092,Daru Lodge
58,Kailua,US,75.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
65,Tarakan,ID,81.48,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
71,Uvira,CD,80.73,broken clouds,-3.4067,29.1458,Hotel Suzana
83,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
99,Eirunepe,BR,76.8,overcast clouds,-6.6603,-69.8736,Atrás de você
103,Kerema,PG,77.43,overcast clouds,-7.9631,145.7785,Frena Lodge
105,Singaraja,ID,79.0,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
107,Montemorelos,MX,89.56,clear sky,25.2,-99.8167,Best Western Bazarell Inn
111,Faanui,PF,80.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Pakxe,LA,76.26,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
126,Hamilton,US,83.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
128,Hambantota,LK,80.92,broken clouds,6.1241,81.1185,Bungalow 63
129,Yarada,IN,88.12,few clouds,17.65,83.2667,Jeevan
131,Samarai,PG,77.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
134,Dingle,PH,77.05,light rain,10.9995,122.6711,SEGAYA PROPERTY
136,Nikolskoye,RU,75.4,few clouds,59.7035,30.7861,Tourist House - Sablino
137,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
139,Lagunas,PE,79.45,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
140,Vung Tau,VN,83.68,light rain,10.346,107.0843,Green hotel
145,Atuona,PF,79.16,broken clouds,-9.8,-139.0333,Villa Enata
147,Arantangi,IN,83.48,overcast clouds,10.1667,78.9833,Hotel Sami V Landmarks
150,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
160,Cascais,PT,78.66,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
164,San Patricio,US,88.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Callaway,US,88.0,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
169,Bantogon,PH,80.08,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
171,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
172,Bubaque,GW,80.1,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
173,Xinzhi,CN,85.73,light rain,36.4989,111.7047,Mingyue Hotel
176,Matamoros,MX,89.71,clear sky,25.5333,-103.25,Quinta Belem
177,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
179,Kavieng,PG,81.59,light rain,-2.5744,150.7967,Nusa Island Retreat
184,Amarante Do Maranhao,BR,89.96,few clouds,-5.5667,-46.7422,Hotéis Caçulinha
188,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
190,Kavaratti,IN,82.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
195,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
197,Barcelos,PT,84.29,broken clouds,41.5388,-8.6151,Hotel Do Terço
204,Tautira,PF,75.22,clear sky,-17.7333,-149.15,Pension Oaoa
205,Kimbe,PG,75.34,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
208,Lata,PT,83.05,clear sky,40.1629,-8.3327,Casa Maquia
210,Snyder,US,81.52,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
211,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
215,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
221,Waingapu,ID,77.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
